#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#TIC#, RA, DEC, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, Exposure Length, Waveband, Filters, Target Classification, Release Date, Instrument, Project, Distance (")
#@string, ra, dec, int, string, string, string, ra, dec, float, float, string, string, string, float, string, string, float
TIC#,RA,DEC,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp09532,HD 131156,222.8449313847,19.1024269716,44437.15152,1799.652,UV,LOW DISP,,NaN,SWP,,0.531835735354154
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp17517,HD 131156,222.8462327033,19.101631246,45180.17359,1199.588,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr13050,HD 131156,222.8453319887,19.1021282871,45079.92153,62.625,UV,LOW DISP,,NaN,LWR,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr13109,HD 131156,222.8453319887,19.1021282871,45089.40417,104.739,UV,LOW DISP,,NaN,LWR,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp28508,HD 131156,222.845930155267,19.1024639903677,46599.9180787,44099.32,UV,HIGH DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp22012,BOO A,222.8462338082,19.1013312479,45714.68264,5399.497,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp16841,HD 131156,222.845730383,19.102429599,45086.52759,4199.499,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp16798,HD 131156,222.845730383,19.102429599,45080.01546,2699.544,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp33722,HD131156,222.8449313847,19.1024269716,47320.67267,2399.717,UV,LOW DISP,,NaN,SWP,,0.531835735354154
TIC_117979951,71.90121543,-16.93445569,2,IUE,swp13569,HD 30495,71.8994425502,-16.9369115347,44688.51203,4499.736,UV,LOW DISP,,NaN,SWP,,0.120910291498957
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp22025,BOO A,222.8462338082,19.1013312479,45716.63648,5399.087,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp16840,HD 131156,222.845730383,19.102429599,45086.473,2699.544,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp47659,HD131156,222.8457314879,19.1021296008,49120.40028,4319.512,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp16991,HD 131156,222.845730383,19.102429599,45108.87095,10799.793,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp27361,HD 131156,222.8449313847,19.1024269716,46422.76288,3599.844,UV,LOW DISP,,NaN,SWP,,0.531835735354154
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp28538,HD 131156,222.845730383,19.102429599,46605.75332,9599.665,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr11583,HD 131156,222.845131155685,19.1024613631267,44866.0583102,899.765,UV,HIGH DISP,,NaN,LWR,,0.231499965675866
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp28523,HD 131156,222.845730383,19.102429599,46602.74693,7199.279,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp16860,HD 131156,222.845730383,19.102429599,45089.30505,5399.627,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp02619,HD 131156,222.84643358085,19.1013656376523,45713.2129977,719.544,UV,HIGH DISP,,NaN,LWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp02668,HD 131156,222.84643358085,19.1013656376523,45719.2051505,719.544,UV,HIGH DISP,,NaN,LWP,,0
